Mec1	Rpa2	14642562,8986766	YBR136W	YPR010C
Mec1	Axl2	11062466	YBR136W	YIL140W
Mec1	Mrc1	12865299	YBR136W	YCL061C
Mec1	Rpa1	14642562	YBR136W	YAR007C
Mec1	Dun1	12967660	YBR136W	YDL101C
Mec1	Ddc2	14988729,14643429	YBR136W	YDR499W
Bck1	Mkk1	8386319	YJL095W	YOR231W
Bck1	Mkk2	8386319	YJL095W	YPL140C
Civ1	Cdc28	8752211	YFL029C	YBR160W
Ark1	Pan1	11739778	YNL020C	YIR006C
Ark1	Sla1	11739778	YNL020C	YBL007C
Yck1	Mth1	14755054	YHR135C	YDR277C
Yck1	Pdr5	10601275	YHR135C	YOR153W
Yck1	Ste50	14555477	YHR135C	YCL032W
Yck1	Std1	14755054	YHR135C	YOR047C
Yck1	Fur4	10811641	YHR135C	YBR021W
Yck1	Pma1	8943257	YHR135C	YGL008C
Yck1	Yck1	7803855	YHR135C	YHR135C
Mek1	Red1	9832507	YOR351C	YLR263W
YGR262C	YGR262C	9305753	YGR262C	YGR262C
Cdc5	Mek1	11062466	YMR001C	YOR351C
Cdc5	Scc1	11371343	YMR001C	YDL003W
Cdc5	Bfa1	12637549,11733064	YMR001C	YJR053W
Cdc5	cohesin	12663816	YMR001C	None
Cdc5	Net1	12096118,12056824,11960554	YMR001C	YJL076W
Cdc5	Dbf4	8943332	YMR001C	YDR052C
Cdc5	Swe1	16123596,15037762	YMR001C	YJL187C
Cdc5	Mad3	15970700	YMR001C	YJL013C
YPK2	Red1	11062466	YMR104C	YLR263W
Dbf4	Mcm2	16107698	YDR052C	YBL023C
Cat1	Cat8	9111319	YDR477W	YMR280C
Mck1	Bcy1	12704202	YNL307C	YIL033C
Mck1	Pyk1	9209064	YNL307C	YAL038W
Mck1	Mck1	11877433	YNL307C	YNL307C
Mck1	Cbf2	7854321	YNL307C	YGR140W
Mck1	Hsl1	11230131	YNL307C	YKL101W
Mck1	Zds1	12704202	YNL307C	YMR273C
Mck1	Ume6	10891485	YNL307C	YDR207C
Kcc4	Swe1	12773812	YCL024W	YJL187C
CK1	Ste50	14555477	None	YCL032W
YPL236C	Rad9	11062466	YPL236C	YDR217C
Mkk2	Mpk1	12361575	YPL140C	YHR030C
Kin2	Axl2	11062466	YLR096W	YIL140W
Kin2	Sec9	15563607	YLR096W	YGR009C
Pho85	Tub4	11062466	YPL031C	YLR212C
Pho85	Sfb3	16330754	YPL031C	YHR098C
